episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
91,27544,270,400.595496,195,0.7222222222222222,75,0.2777777777777778,9,5.0,4.0,8.599912,-0.0,8.599912,1,0.4175824175824176,0,0.5824175824175825
92,27713,169,398.747756,132,0.7810650887573964,37,0.21893491124260356,9,28.0,-19.0,8.614708,-0.0,8.614708,1,0.42391304347826086,0,0.5760869565217391
93,28113,400,1.975426,279,0.6975,121,0.3025,21,29.0,-8.0,8.614708,8.035533905029297,0.57917404,0,0.41935483870967744,1,0.5806451612903226
94,28513,400,-1.106362,273,0.6825,127,0.3175,6,6.0,0.0,8.611026,6.20648193359375,2.4045439,0,0.4148936170212766,1,0.5851063829787234
95,28913,400,4.464333,267,0.6675,133,0.3325,18,5.0,13.0,8.618386,7.389442443847656,1.2289438,0,0.4105263157894737,1,0.5894736842105263
96,29313,400,-0.833526,301,0.7525,99,0.2475,10,13.0,-3.0,8.60733,7.567195892333984,1.0401344,0,0.40625,1,0.59375
97,29713,400,1.720787,309,0.7725,91,0.2275,19,11.0,8.0,8.60733,7.98124885559082,0.62608147,0,0.4020618556701031,1,0.5979381443298969
98,29830,117,403.807011,103,0.8803418803418803,14,0.11965811965811966,16,15.0,1.0,8.599912,-0.0,8.599912,1,0.40816326530612246,0,0.5918367346938775
99,30230,400,0.255168,277,0.6925,123,0.3075,7,11.0,-4.0,8.603626,7.366526126861572,1.2371001,0,0.40404040404040403,1,0.5959595959595959
100,30386,156,401.782965,126,0.8076923076923077,30,0.19230769230769232,16,3.0,13.0,8.60733,-0.0,8.60733,1,0.41,0,0.59
101,30786,400,-2.069705,292,0.73,108,0.27,6,11.0,-5.0,8.614708,7.852983474731445,0.7617245,0,0.40594059405940597,1,0.594059405940594
102,31186,400,6.661623,286,0.715,114,0.285,20,24.0,-4.0,8.622052,7.604166030883789,1.0178862,0,0.4019607843137255,1,0.5980392156862745
103,31586,400,-0.097027,284,0.71,116,0.29,6,15.0,-9.0,8.618386,7.8635711669921875,0.7548151,0,0.39805825242718446,1,0.6019417475728155
104,31986,400,1.25338,254,0.635,146,0.365,21,12.0,9.0,8.60733,7.660201072692871,0.94712925,0,0.3942307692307692,1,0.6057692307692307
105,32256,270,402.969444,201,0.7444444444444445,69,0.25555555555555554,10,5.0,5.0,8.60733,-0.0,8.60733,1,0.4,0,0.6
106,32656,400,-4.202688,249,0.6225,151,0.3775,6,19.0,-13.0,8.614708,8.000595092773438,0.61411285,0,0.39622641509433965,1,0.6037735849056604
107,33056,400,-1.897802,300,0.75,100,0.25,7,29.0,-22.0,8.603626,7.630192279815674,0.973434,0,0.3925233644859813,1,0.6074766355140186
